LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,18;MONGAGUÁ - SP;1,29;MONGAGUÁ - SP;1,76;MONGAGUÁ - SP;1,06;MONGAGUÁ - SP;1,1;MONGAGUÁ - SP
1,02;ÁLVARES FLORENCE - SP;1,05;ÁLVARES FLORENCE - SP;1,21;ÁLVARES FLORENCE - SP;1,06;ÁLVARES FLORENCE - SP;1,07;ÁLVARES FLORENCE - SP
1,13;IRATI - SC;1,35;IRATI - SC;1,46;IRATI - SC;0,99;IRATI - SC;1,03;IRATI - SC
1,3;TAQUARITINGA - SP;1,28;TAQUARITINGA - SP;1,33;TAQUARITINGA - SP;1,28;TAQUARITINGA - SP;1,28;TAQUARITINGA - SP
1,44;SOBRADINHO - BA;1,28;SOBRADINHO - BA;1,62;SOBRADINHO - BA;1,29;SOBRADINHO - BA;1,2;SOBRADINHO - BA
1,16;PARIQUERA-AÇU - SP;1,1;PARIQUERA-AÇU - SP;1,17;PARIQUERA-AÇU - SP;0,99;PARIQUERA-AÇU - SP;1;PARIQUERA-AÇU - SP
1,1;CHUPINGUAIA - RO;1,18;CHUPINGUAIA - RO;1,57;CHUPINGUAIA - RO;1,17;CHUPINGUAIA - RO;1,15;CHUPINGUAIA - RO
1,09;LIMOEIRO DO AJURU - PA;1,06;LIMOEIRO DO AJURU - PA;1,02;LIMOEIRO DO AJURU - PA;1,06;LIMOEIRO DO AJURU - PA;1,04;LIMOEIRO DO AJURU - PA
1,07;BOM RETIRO DO SUL - RS;1,18;BOM RETIRO DO SUL - RS;1,41;BOM RETIRO DO SUL - RS;1,09;BOM RETIRO DO SUL - RS;1,1;BOM RETIRO DO SUL - RS
1,19;GENERAL CARNEIRO - PR;1,15;GENERAL CARNEIRO - PR;1,29;GENERAL CARNEIRO - PR;1,3;GENERAL CARNEIRO - PR;1,3;GENERAL CARNEIRO - PR
1,1;TANGUÁ - RJ;1,03;TANGUÁ - RJ;1,2;TANGUÁ - RJ;1,13;TANGUÁ - RJ;1,14;TANGUÁ - RJ
1,63;CACONDE - SP;1,63;CACONDE - SP;1,59;CACONDE - SP;1,06;CACONDE - SP;1,04;CACONDE - SP
1,07;JACI - SP;1,06;JACI - SP;1,23;JACI - SP;1,06;JACI - SP;1,07;JACI - SP
1,1;MÂNCIO LIMA - AC;1,05;MÂNCIO LIMA - AC;1,07;MÂNCIO LIMA - AC;1,13;MÂNCIO LIMA - AC;1,18;MÂNCIO LIMA - AC
1,31;SANTA CRUZ DA CONCEIÇÃO - SP;1,3;SANTA CRUZ DA CONCEIÇÃO - SP;1,57;SANTA CRUZ DA CONCEIÇÃO - SP;1,18;SANTA CRUZ DA CONCEIÇÃO - SP;1,18;SANTA CRUZ DA CONCEIÇÃO - SP
1,06;GARUVA - SC;1,11;GARUVA - SC;1,26;GARUVA - SC;1,06;GARUVA - SC;1,06;GARUVA - SC
1,3;PINHAIS - PR;1,17;PINHAIS - PR;1,27;PINHAIS - PR;1,22;PINHAIS - PR;1,25;PINHAIS - PR
2,07;CONCEIÇÃO DO ALMEIDA - BA;1,9;CONCEIÇÃO DO ALMEIDA - BA;1,68;CONCEIÇÃO DO ALMEIDA - BA;1,14;CONCEIÇÃO DO ALMEIDA - BA;1,14;CONCEIÇÃO DO ALMEIDA - BA
1,19;DOM FELICIANO - RS;1,19;DOM FELICIANO - RS;1,51;DOM FELICIANO - RS;1,09;DOM FELICIANO - RS;1,11;DOM FELICIANO - RS
1,05;ITABERABA - BA;1,02;ITABERABA - BA;1,04;ITABERABA - BA;1,13;ITABERABA - BA;1,16;ITABERABA - BA
1,51;FLORES DA CUNHA - RS;1,17;FLORES DA CUNHA - RS;1,47;FLORES DA CUNHA - RS;1,03;FLORES DA CUNHA - RS;1,05;FLORES DA CUNHA - RS
1,25;ROCA SALES - RS;1,18;ROCA SALES - RS;1,18;ROCA SALES - RS;1,04;ROCA SALES - RS;1,06;ROCA SALES - RS
1,03;ARAÇOIABA DA SERRA - SP;1,06;ARAÇOIABA DA SERRA - SP;1,13;ARAÇOIABA DA SERRA - SP;1,01;ARAÇOIABA DA SERRA - SP;1,04;ARAÇOIABA DA SERRA - SP
1,12;SERRA NEGRA - SP;1,15;SERRA NEGRA - SP;1,4;SERRA NEGRA - SP;1,09;SERRA NEGRA - SP;1,11;SERRA NEGRA - SP
1,31;SÃO JOÃO - PR;1,2;SÃO JOÃO - PR;1,29;SÃO JOÃO - PR;1,07;SÃO JOÃO - PR;1,04;SÃO JOÃO - PR
1,11;IBIRAPUITÃ - RS;1,11;IBIRAPUITÃ - RS;1,27;IBIRAPUITÃ - RS;1,03;IBIRAPUITÃ - RS;1,06;IBIRAPUITÃ - RS
1,03;PALMEIRÂNDIA - MA;1,08;PALMEIRÂNDIA - MA;1,26;PALMEIRÂNDIA - MA;1,12;PALMEIRÂNDIA - MA;1,11;PALMEIRÂNDIA - MA
1,2;MANDURI - SP;1,17;MANDURI - SP;1,27;MANDURI - SP;1,05;MANDURI - SP;1,03;MANDURI - SP
1,21;SANTA CLARA DO SUL - RS;1,27;SANTA CLARA DO SUL - RS;1,39;SANTA CLARA DO SUL - RS;1,26;SANTA CLARA DO SUL - RS;1,18;SANTA CLARA DO SUL - RS
1,09;CRUZEIRO DO IGUAÇU - PR;1,08;CRUZEIRO DO IGUAÇU - PR;1,21;CRUZEIRO DO IGUAÇU - PR;1,08;CRUZEIRO DO IGUAÇU - PR;1,06;CRUZEIRO DO IGUAÇU - PR
1,1;MAIRIPORÃ - SP;1,06;MAIRIPORÃ - SP;1,32;MAIRIPORÃ - SP;1,26;MAIRIPORÃ - SP;1,19;MAIRIPORÃ - SP
1,41;CLEVELÂNDIA - PR;1,13;CLEVELÂNDIA - PR;1,28;CLEVELÂNDIA - PR;1,21;CLEVELÂNDIA - PR;1,27;CLEVELÂNDIA - PR
1,04;POUSO NOVO - RS;1,15;POUSO NOVO - RS;1,37;POUSO NOVO - RS;1,16;POUSO NOVO - RS;1,21;POUSO NOVO - RS
1,81;CERES - GO;1,76;CERES - GO;1,76;CERES - GO;1,52;CERES - GO;1,39;CERES - GO
1;ITIRUÇU - BA;1;ITIRUÇU - BA;1,01;ITIRUÇU - BA;1,19;ITIRUÇU - BA;1,11;ITIRUÇU - BA
1,15;XANGRI-LÁ - RS;1,23;XANGRI-LÁ - RS;1,38;XANGRI-LÁ - RS;1,32;XANGRI-LÁ - RS;1,18;XANGRI-LÁ - RS
1,07;ORLÂNDIA - SP;1,24;ORLÂNDIA - SP;1,36;ORLÂNDIA - SP;1,06;ORLÂNDIA - SP;1,07;ORLÂNDIA - SP
1,02;CHUVISCA - RS;1,13;CHUVISCA - RS;1,26;CHUVISCA - RS;0,97;CHUVISCA - RS;0,97;CHUVISCA - RS
1;SANTA BRANCA - SP;1,07;SANTA BRANCA - SP;1,22;SANTA BRANCA - SP;1,06;SANTA BRANCA - SP;1,06;SANTA BRANCA - SP
1,13;IMBÉ - RS;1,25;IMBÉ - RS;1,72;IMBÉ - RS;1,34;IMBÉ - RS;1,31;IMBÉ - RS
1,02;NOVA SANTA HELENA - MT;1,09;NOVA SANTA HELENA - MT;1,45;NOVA SANTA HELENA - MT;1,27;NOVA SANTA HELENA - MT;1,22;NOVA SANTA HELENA - MT
1,27;LINDÓIA - SP;1,37;LINDÓIA - SP;1,66;LINDÓIA - SP;1,2;LINDÓIA - SP;1,19;LINDÓIA - SP
1,19;TUPÃ - SP;1,16;TUPÃ - SP;1,24;TUPÃ - SP;1,17;TUPÃ - SP;1,19;TUPÃ - SP
1,14;MAIRIPOTABA - GO;1,4;MAIRIPOTABA - GO;1,77;MAIRIPOTABA - GO;1,13;MAIRIPOTABA - GO;1,17;MAIRIPOTABA - GO
1,15;CRUZ ALTA - RS;1,23;CRUZ ALTA - RS;1,35;CRUZ ALTA - RS;1,27;CRUZ ALTA - RS;1,18;CRUZ ALTA - RS
2,47;GUAPÓ - GO;1,92;GUAPÓ - GO;1,68;GUAPÓ - GO;1,08;GUAPÓ - GO;1,13;GUAPÓ - GO
1,07;CAPITÃO - RS;1,14;CAPITÃO - RS;1,54;CAPITÃO - RS;1,13;CAPITÃO - RS;1,08;CAPITÃO - RS
1,22;QUEDAS DO IGUAÇU - PR;1,21;QUEDAS DO IGUAÇU - PR;1,27;QUEDAS DO IGUAÇU - PR;1,16;QUEDAS DO IGUAÇU - PR;1,18;QUEDAS DO IGUAÇU - PR
1,07;FERNÃO - SP;1,39;FERNÃO - SP;1,63;FERNÃO - SP;1,12;FERNÃO - SP;1,1;FERNÃO - SP
1,06;PIRAPOZINHO - SP;1,06;PIRAPOZINHO - SP;1,14;PIRAPOZINHO - SP;1,23;PIRAPOZINHO - SP;1,24;PIRAPOZINHO - SP
1,21;FARROUPILHA - RS;1,21;FARROUPILHA - RS;1,34;FARROUPILHA - RS;1,07;FARROUPILHA - RS;3,64;FARROUPILHA - RS
1,08;MARQUES DE SOUZA - RS;1,12;MARQUES DE SOUZA - RS;1,26;MARQUES DE SOUZA - RS;1,04;MARQUES DE SOUZA - RS;1,07;MARQUES DE SOUZA - RS
