#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2014_ABS;LOF_2014_REL;LOF_2014_REL_NOR;LOF_2014_SUA;LOF_2014_SUA_NOR
VÁRZEA ALEGRE - CE;39861.0;1857991.87;0.00;0.00;8195034.94;0.00;0.00;0.00;2419336.10;0.00;17851540.51;0.00;23726334.33;1401162.64;0.00;5988566.35;205759.69;92942.97;321362.16;0.00;254852.57;0.00;0.00;0.00;0.00;0.00;675010.89;294447.33;495037.90;0.00;1.05;0.97;0.97;1.03;1.05
IRARÁ - BA;29770.0;1494293.08;0.00;0.00;3845271.64;0.00;186044.06;0.00;1047503.30;0.00;10472696.98;0.00;24888673.03;1524096.23;0.00;3429516.25;0.00;416093.84;5050.00;0.00;1105923.29;0.00;0.00;157017.89;0.00;0.00;494343.16;52673.28;1102295.73;0.00;1.02;1.00;1.02;1.01;1.02
LINHA NOVA - RS;1697.0;166541.80;0.00;0.00;3484911.00;0.00;0.00;0.00;66399.05;23941.01;1570443.52;0.00;1306783.62;245583.49;0.00;0.00;0.00;128360.73;214170.96;0.00;348428.72;0.00;0.00;0.00;302.00;71421.77;152264.61;0.00;0.00;0.00;1.28;1.46;2.03;1.24;1.25
UNIÃO DO OESTE - SC;2751.0;608873.63;0.00;0.00;1435979.58;0.00;5904.70;0.00;452933.00;0.00;2646852.21;0.00;2900937.30;93998.67;0.00;1402113.27;800.00;0.00;0.00;0.00;1235503.19;0.00;110519.37;0.00;0.00;0.00;1675240.97;148290.91;587366.62;0.00;1.06;1.17;1.29;1.08;1.06
BOM JARDIM DE MINAS - MG;6658.0;666721.54;0.00;0.00;1194375.91;0.00;0.00;0.00;467989.09;404196.98;4812411.21;0.00;3610344.52;230133.34;0.00;1881650.81;0.00;460051.49;0.00;0.00;522888.41;0.00;0.00;26978.26;3531.22;0.00;254982.09;180976.98;213937.86;0.00;1.09;1.05;1.13;1.05;1.04
GRAÇA - CE;15287.0;898976.00;0.00;0.00;4642433.62;0.00;0.00;0.00;1413600.88;0.00;5556542.46;0.00;14876531.18;856554.88;0.00;1631879.23;0.00;434280.07;0.00;0.00;443301.82;0.00;0.00;0.00;0.00;250799.37;609561.80;7521.80;6511.56;0.00;1.02;1.01;1.15;1.02;1.03
IRAÍ DE MINAS - MG;6842.0;835909.09;170881.53;0.00;3598248.17;0.00;0.00;0.00;369507.70;373241.13;3889896.46;0.00;4526960.35;19574.00;0.00;1937955.70;0.00;1402881.22;13150.00;0.00;47236.06;0.00;0.00;0.00;2000.00;251545.74;356828.99;196831.89;1357216.24;0.00;1.40;1.28;1.41;1.00;1.01
NOVA GLÓRIA - GO;8604.0;659143.29;685.31;77057.00;1533941.80;0.00;91444.00;0.00;659557.15;0.00;3175969.80;94138.13;3710029.95;0.00;0.00;799040.51;100305.45;169243.17;16459.65;0.00;12000.00;0.00;0.00;550.00;0.00;219648.00;508704.48;541452.29;999806.71;0.00;1.10;1.10;1.41;1.28;1.29
OEIRAS - PI;36266.0;1472690.36;0.00;0.00;7475659.07;0.00;20700.00;0.00;1979445.00;0.00;12115795.67;0.00;23013452.31;1154466.76;0.00;3379815.55;327773.44;165815.16;93240.00;0.00;193282.25;0.00;0.00;159469.47;0.00;0.00;564582.12;1190851.60;150809.98;0.00;1.00;0.98;1.00;1.01;1.04
CORONEL FREITAS - SC;10236.0;857505.74;0.00;0.00;3978191.50;0.00;62724.15;0.00;1409847.38;0.00;5804099.52;0.00;6693197.06;255559.09;0.00;3483836.93;150934.41;5059785.84;0.00;0.00;1156595.19;0.00;0.00;0.00;0.00;230228.21;1757585.85;314584.55;0.00;0.00;1.71;1.48;1.49;1.10;1.12
MANFRINÓPOLIS - PR;3003.0;540778.92;0.00;0.00;1504096.23;0.00;0.00;0.00;566188.50;0.00;2909801.62;0.00;2498739.82;24565.09;0.00;620794.71;0.00;18174.60;93161.16;0.00;794366.73;0.00;0.00;0.00;0.00;0.00;2330912.58;213319.57;55332.52;0.00;1.04;1.13;1.19;0.98;0.99
ITAJUBÁ - MG;95491.0;5118576.39;1806248.73;0.00;20022748.37;0.00;1582244.72;0.00;2984275.65;8241786.06;36621486.54;0.00;41195109.77;1598148.83;0.00;23300443.44;572702.08;1327271.15;663869.16;995812.32;866208.35;0.00;79177.05;0.00;0.00;0.00;325726.33;1302465.46;1417579.67;0.00;1.07;1.04;2.04;1.29;1.08
MONTE ALEGRE - PA;56231.0;2046039.93;0.00;0.00;6786892.31;0.00;0.00;0.00;2940675.72;6247287.85;29248258.33;74877.61;58698651.56;119683.76;0.00;6290642.97;0.00;0.00;1128616.30;0.00;600964.78;0.00;0.00;125493.83;0.00;565030.75;14732.11;173859.18;705767.94;0.00;1.15;1.23;1.28;1.11;1.16
RIO PARDO DE MINAS - MG;30578.0;1671804.67;223404.15;0.00;3235085.68;2310.00;652226.48;0.00;1816562.28;0.00;11727801.49;0.00;16800725.21;614880.99;0.00;2663540.55;33838.74;457409.37;29000.00;0.00;601958.98;0.00;83100.00;0.00;49509.78;0.00;1179524.51;309891.78;2756585.47;0.00;1.09;1.02;1.24;1.10;1.07
SÃO GONÇALO DO AMARANTE - RN;96759.0;7366535.62;0.00;0.00;46148539.49;0.00;0.00;0.00;7608330.68;4418746.95;37121194.09;0.00;57395301.92;3549026.22;0.00;27542931.94;23670400.45;0.00;1228131.74;0.00;732695.34;0.00;0.00;0.00;0.00;0.00;754518.66;0.00;0.00;0.00;1.51;1.62;1.75;1.29;1.45
BARRA DO TURVO - SP;7853.0;0.00;0.00;0.00;8034597.22;0.00;0.00;0.00;1030326.19;0.00;8383529.03;0.00;9705896.24;671028.45;80.40;766394.85;0.00;117545.42;0.00;0.00;1092317.30;0.00;0.00;0.00;0.00;0.00;649882.44;439585.94;574245.41;0.00;1.11;1.13;1.47;1.07;1.07
TERRA ROXA - PR;17461.0;1557031.67;0.00;0.00;7664235.60;0.00;0.00;0.00;1936634.16;3133380.94;10467931.19;0.00;10755802.34;688257.01;0.00;4047628.26;5539.95;0.00;273663.02;0.00;3037815.92;0.00;316563.07;52647.65;0.00;0.00;514383.11;543489.25;1424659.86;2441912.96;1.18;1.13;1.16;1.04;1.03
SERRA DA SAUDADE - MG;822.0;532299.23;0.00;50105.60;1773843.07;0.00;0.00;0.00;203225.31;765341.41;2058961.55;0.00;1912168.43;250306.56;0.00;471185.99;34577.90;44884.13;40362.49;0.00;407602.73;0.00;0.00;0.00;0.00;48572.77;1021040.87;64974.09;91040.78;0.00;1.02;2.06;2.46;1.12;1.23
MARAVILHAS - MG;7674.0;691135.15;0.00;0.00;1695940.43;0.00;16712.47;0.00;461132.30;463286.29;4553408.02;0.00;4894753.41;284316.37;2709.80;640850.80;0.00;246023.30;0.00;0.00;300749.00;0.00;0.00;0.00;1443.33;148207.14;617200.94;113707.40;243943.91;0.00;1.02;1.02;1.06;1.05;1.10
ITAÍ - SP;25792.0;2956042.42;0.00;0.00;5718978.47;289695.71;0.00;0.00;4594499.59;3588168.03;19971384.23;0.00;15070838.35;419082.67;0.00;5993966.36;4005167.24;0.00;286883.14;0.00;474998.84;0.00;0.00;0.00;0.00;0.00;984750.56;742988.49;1119064.24;3517569.97;1.19;1.17;1.82;1.17;1.15
SANTANA DOS GARROTES - PB;7160.0;542892.41;0.00;0.00;3096102.36;0.00;0.00;0.00;591472.51;0.00;3535991.97;0.00;4707775.46;127451.74;0.00;50781.00;0.00;6910.00;23600.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;164460.72;0.00;162769.01;0.00;1.05;1.03;1.02;1.21;1.17
CAMPO NOVO DO PARECIS - MT;31171.0;3884549.66;0.00;0.00;10539379.41;0.00;0.00;0.00;3556715.04;3862406.57;21214958.48;128043.83;24462392.36;1827583.28;85267.74;9655388.11;0.00;6175119.53;481232.28;0.00;1106070.57;0.00;1817277.41;261859.70;0.00;0.00;1108446.72;2206309.22;1176675.44;4233456.18;1.14;1.13;1.45;1.13;1.12
DONA EMMA - SC;3955.0;521339.80;0.00;0.00;2241182.41;0.00;371308.65;0.00;588580.75;0.00;3151009.74;1961.17;2517992.68;163836.64;0.00;476226.45;0.00;2030.28;545.72;0.00;725170.59;0.00;0.00;6000.00;19125.60;0.00;1034271.78;221933.42;285988.36;0.00;1.00;1.13;1.38;1.05;1.06
ANGELÂNDIA - MG;8416.0;687110.09;133112.30;0.00;2038340.59;14596.29;0.00;0.00;707171.63;524380.74;5640047.27;0.00;6493860.30;547230.93;0.00;1016512.47;560.00;16355.60;164099.26;0.00;233821.00;0.00;0.00;0.00;0.00;0.00;177924.26;30478.18;386846.68;0.00;1.02;1.05;1.27;1.10;1.01
ITAPORANGA - PB;24317.0;1236622.34;90531.30;0.00;3476651.09;0.00;0.00;0.00;1536577.91;0.00;10631086.26;295913.83;8681179.88;619114.76;0.00;4160559.77;0.00;72723.21;433122.28;0.00;422002.18;0.00;0.00;0.00;0.00;508085.48;72253.42;17104.00;766130.48;0.00;1.03;1.02;1.09;1.11;1.09
ITAPAGIPE - MG;14645.0;1227704.94;0.00;0.00;5864869.68;0.00;7490.34;0.00;1534537.16;1468170.41;9053767.93;0.00;7498712.04;1046916.69;0.00;4231745.00;0.00;0.00;169022.68;0.00;284325.09;0.00;0.00;26753.62;285876.91;0.00;1212214.78;208293.41;1632740.49;1169664.17;1.11;1.08;1.39;1.07;1.08
ABELARDO LUZ - SC;17651.0;1746532.29;0.00;0.00;5384472.76;0.00;248006.80;0.00;2556536.61;0.00;12525342.65;0.00;15302384.73;105183.55;0.00;4964053.13;255943.76;2576924.50;3541.90;0.00;1960922.24;0.00;294238.29;216286.68;0.00;4600.00;3895638.17;265877.26;2387845.83;0.00;1.17;1.11;1.30;1.04;1.05
JUSSARI - BA;6434.0;563944.71;0.00;0.00;2735808.16;0.00;0.00;0.00;540721.08;0.00;3110595.88;0.00;6640183.41;273054.09;0.00;1606881.38;17500.00;11854.46;0.00;0.00;37952.00;0.00;0.00;0.00;2766.00;0.00;229731.89;0.00;0.00;0.00;1.00;1.07;1.10;1.18;1.11
CENTENÁRIO - TO;2771.0;387564.53;0.00;0.00;2379076.61;0.00;3538.28;0.00;553181.94;264188.46;629134.37;0.00;2427935.14;0.00;0.00;380619.30;0.00;0.00;0.00;0.00;546506.61;0.00;0.00;0.00;0.00;0.00;489768.28;500.00;111027.58;0.00;1.30;1.43;1.48;1.10;1.11
SUMARÉ - SP;262308.0;18228382.52;0.00;0.00;100238705.73;0.00;22154986.11;0.00;22799141.11;18295660.28;129343043.60;0.00;145022631.58;3501823.22;0.00;40171818.42;3341409.46;56261619.44;2464675.49;1401849.66;170069.49;0.00;0.00;0.00;0.00;0.00;8973667.96;5303047.12;3199785.70;19378032.49;1.20;1.21;1.35;1.24;1.11
JOAÇABA - SC;28705.0;2362741.68;0.00;0.00;9608691.47;0.00;1517048.03;0.00;3357487.63;5381993.74;16026822.05;3143914.86;21737381.32;232814.53;172468.22;19151206.73;242190.48;12825978.89;170845.01;2600122.19;2398358.41;0.00;199182.19;34468.81;2160.00;0.00;866684.29;2426610.94;5287817.84;0.00;1.64;1.60;5.31;1.17;1.11
IPIRÁ - BA;62172.0;2500105.92;103728.35;0.00;10861039.21;0.00;0.00;0.00;2955979.36;0.00;20120966.99;0.00;42118058.82;1048440.65;0.00;6286813.37;0.00;0.00;0.00;0.00;108229.03;0.00;0.00;1120.75;0.00;151195.80;457779.89;283835.56;838649.32;0.00;1.08;0.97;0.96;1.11;1.15
VARGEM GRANDE DO RIO PARDO - MG;4966.0;577490.31;84685.90;0.00;1347815.61;20425.04;0.00;0.00;555278.17;0.00;3884158.44;0.00;4165192.11;19778.00;0.00;1978599.77;0.00;36656.72;13833.33;0.00;148787.64;0.00;0.00;116065.58;2000.00;0.00;79026.87;70809.02;897063.69;0.00;1.05;1.09;1.43;1.10;1.00
TAIAÇU - SP;6179.0;674448.08;0.00;0.00;2775295.32;0.00;88400.74;0.00;765351.16;747451.87;3930140.33;22030.57;4079951.05;240.00;0.00;1155139.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;435283.69;610783.80;315296.35;562468.22;1.05;1.07;1.25;1.21;1.27
PAQUETÁ - PI;3909.0;371271.39;0.00;0.00;1549142.32;0.00;3750.00;0.00;567104.14;209197.18;2440552.37;64020.92;4510656.94;251200.87;0.00;344905.90;0.00;146388.63;0.00;0.00;236214.39;0.00;0.00;0.00;2439.22;0.00;70210.00;0.00;0.00;0.00;1.01;1.08;1.25;1.17;1.20
LIMA CAMPOS - MA;11612.0;0.00;0.00;0.00;3354617.81;0.00;0.00;0.00;676459.97;185284.00;9454277.45;0.00;8796147.99;573575.32;0.00;2489397.80;0.00;32589.85;0.00;0.00;313282.03;0.00;0.00;0.00;0.00;281244.78;1512242.06;150000.57;0.00;0.00;1.05;1.03;1.22;1.07;1.04
FÁTIMA DO SUL - MS;19240.0;1803199.52;0.00;0.00;9359985.80;0.00;0.00;0.00;1071164.26;1725568.99;9153599.79;0.00;8158240.61;0.00;0.00;2583083.41;94156.77;0.00;0.00;0.00;110.00;0.00;0.00;0.00;0.00;668127.68;1330793.53;398224.92;1080974.45;1354140.69;1.13;1.09;1.17;1.25;1.27
LAGOA DE VELHOS - RN;2762.0;544606.68;0.00;0.00;1850649.31;0.00;0.00;0.00;344959.46;0.00;2738307.78;0.00;3302078.75;118108.03;0.00;749745.27;0.00;0.00;0.00;0.00;418824.56;0.00;0.00;0.00;0.00;0.00;0.00;176744.25;0.00;0.00;0.96;1.06;1.20;1.00;1.01
BERNARDINO DE CAMPOS - SP;11146.0;847470.18;0.00;0.00;4436943.12;0.00;0.00;0.00;1235913.74;0.00;7548560.03;0.00;7756046.03;355069.29;0.00;3243294.33;0.00;0.00;36737.49;0.00;118609.57;0.00;0.00;0.00;0.00;0.00;0.00;374892.65;0.00;0.00;1.04;1.01;1.09;1.00;1.02
COLÔNIA DO PIAUÍ - PI;7522.0;440063.93;0.00;0.00;2088697.91;0.00;0.00;0.00;467073.77;0.00;3236471.58;0.00;6470705.43;45700.97;0.00;421232.46;0.00;116294.18;1378.00;0.00;93277.24;0.00;0.00;0.00;608.97;44777.10;199804.42;71534.80;363992.06;0.00;1.01;0.98;0.99;1.00;1.00
CATOLÉ DO ROCHA - PB;29990.0;1489220.14;0.00;0.00;3036563.41;0.00;0.00;0.00;1816012.07;0.00;13780437.39;0.00;13982445.99;646596.01;0.00;5326773.38;0.00;0.00;0.00;0.00;720856.00;0.00;0.00;0.00;0.00;0.00;0.00;52150.00;0.00;0.00;1.11;0.99;1.01;1.00;1.05
SÃO LUIS DO PIAUÍ - PI;2593.0;384638.97;0.00;0.00;1711635.61;0.00;0.00;0.00;407455.04;282061.59;1783740.39;64067.02;2105321.11;8642.00;0.00;717446.44;0.00;189089.20;0.00;0.00;20552.78;0.00;0.00;0.00;20045.22;5000.00;192204.28;122591.04;0.00;0.00;1.01;1.05;1.30;1.10;1.12
SOMBRIO - SC;28589.0;1902136.27;0.00;0.00;4464917.71;0.00;463742.38;0.00;1722134.67;0.00;11141393.36;8688.00;23069572.57;1304181.79;0.00;3580401.09;251411.03;3224308.34;2170.62;0.00;1119543.88;0.00;151973.63;7879.85;0.00;0.00;2123026.60;770248.15;3608430.97;0.00;1.11;1.24;1.31;1.05;1.06
PROPRIÁ - SE;29562.0;1979415.80;741367.22;0.00;8293440.72;0.00;0.00;0.00;1822985.20;0.00;18216768.23;0.00;13326962.78;357900.00;0.00;3814570.16;0.00;0.00;143098.51;0.00;55206.86;0.00;0.00;510922.19;0.00;0.00;0.00;204731.87;0.00;0.00;1.15;1.02;1.22;1.12;1.14
IGARAPÉ GRANDE - MA;11533.0;0.00;0.00;0.00;5274826.44;0.00;0.00;0.00;475776.45;0.00;4722794.81;0.00;9686982.48;521743.43;0.00;1354848.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;771816.66;601234.93;0.00;0.00;1.05;1.05;1.22;1.16;1.11
ESTRELA DO NORTE - SP;2756.0;590168.26;0.00;0.00;2697434.71;0.00;0.00;0.00;617988.54;0.00;2960841.21;0.00;3360395.94;0.00;0.00;2232950.60;68484.44;0.00;0.00;0.00;793074.12;0.00;0.00;0.00;999.00;0.00;0.00;304671.98;0.00;0.00;1.13;1.18;1.29;1.19;1.16
ITAGUAÇU - ES;14836.0;1190020.01;0.00;0.00;14780327.81;0.00;0.00;0.00;1251382.49;0.00;5601630.71;0.00;7499276.48;684561.82;0.00;4057056.39;78445.13;2378014.32;0.00;0.00;1796874.56;0.00;0.00;0.00;0.00;117587.46;2096617.63;343267.90;231663.96;0.00;1.57;1.39;1.54;1.09;1.12
MARANHÃOZINHO - MA;15384.0;0.00;0.00;0.00;3214516.83;0.00;0.00;0.00;657592.46;0.00;6107441.96;0.00;14060839.59;1099973.56;0.00;2045903.13;0.00;670916.62;35663.65;0.00;291202.27;0.00;0.00;0.00;0.00;57110.96;1261518.55;197296.81;0.00;0.00;1.02;1.02;1.16;1.02;1.02
ANCHIETA - ES;27145.0;13087404.65;47819.06;0.00;41168788.94;0.00;2132179.76;0.00;11461870.72;5723455.26;68176963.61;2254724.19;88581015.20;1215647.80;0.00;37547835.88;2353555.40;14215665.35;3667715.48;0.00;5520043.20;0.00;0.00;7131423.74;0.00;0.00;19183332.17;3501626.13;2822457.71;9474715.95;1.10;2.17;2.21;1.08;1.13
LENÇÓIS PAULISTA - SP;65587.0;3938278.04;0.00;0.00;17168264.54;0.00;484944.46;0.00;6997200.38;12087192.42;33985408.77;0.00;45640160.58;3103326.09;0.00;18015187.82;1087207.97;9990217.89;80541.61;0.00;730230.33;0.00;1604937.19;20000.00;0.00;0.00;0.00;3239823.81;2675111.94;11982632.29;1.12;1.18;1.18;1.08;1.06
PEQUERI - MG;3310.0;537141.92;2093.55;0.00;1443671.11;0.00;0.00;0.00;669269.47;244721.61;3292302.77;0.00;2788630.40;757027.95;0.00;1830521.68;0.00;3820.00;0.00;0.00;28912.20;0.00;22608.00;0.00;7300.00;0.00;97515.22;9320.00;99102.04;0.00;1.04;1.17;1.39;1.18;1.16
SANTO ANTÔNIO DO RETIRO - MG;7264.0;604116.36;130306.42;0.00;1386647.68;37071.21;0.00;0.00;742050.83;0.00;5420450.84;0.00;5983780.21;568469.58;0.00;1354451.37;0.00;219600.19;61025.14;0.00;252874.59;0.00;0.00;0.00;14339.23;0.00;954084.03;121034.49;814852.91;0.00;1.07;1.07;1.41;1.13;1.00
POÇÃO DE PEDRAS - MA;18191.0;0.00;39300.00;0.00;3077952.19;0.00;0.00;0.00;1459210.61;0.00;10194067.82;208804.34;19608686.59;640252.41;0.00;2199633.90;22000.00;75815.63;26000.00;0.00;133263.86;0.00;0.00;0.00;0.00;288013.88;5034224.33;40500.00;0.00;0.00;1.31;1.39;1.35;1.14;1.14
SÃO CARLOS - SP;238958.0;0.00;1046030.50;0.00;108928964.97;0.00;371232.79;0.00;8265348.16;0.00;177870126.94;1431429.31;124992831.62;3335831.04;0.00;63321059.27;0.00;82479090.45;1229917.69;0.00;13021365.21;0.00;55396.70;379972.24;0.00;0.00;0.00;3708987.02;51202162.46;0.00;1.28;1.45;1.51;1.30;1.34
ARARIPINA - PE;82298.0;3730890.42;420662.94;0.00;8691519.85;0.00;0.00;0.00;4607120.01;6867495.84;27954727.85;0.00;56497853.17;3171435.20;0.00;10508933.15;0.00;310941.42;30718.24;668239.11;3569530.79;0.00;0.00;13702.17;0.00;0.00;598072.30;744593.78;779481.05;543319.21;1.10;1.02;2.08;1.20;1.12
PARAÍSO DO TOCANTINS - TO;48409.0;2635921.57;0.00;0.00;7085682.78;0.00;0.00;0.00;3048500.99;1204170.79;18590493.83;0.00;17401888.56;842770.30;0.00;10238512.30;0.00;135000.00;1785441.14;0.00;943829.53;0.00;52076.62;206951.76;0.00;0.00;640.58;1203698.51;1113822.20;0.00;1.07;1.04;1.19;1.06;1.07
APODI - RN;36120.0;1981950.03;0.00;0.00;8981716.49;0.00;0.00;0.00;1958689.68;0.00;13356474.74;21000.00;18658744.44;586355.65;0.00;2500224.32;25418.76;0.00;14741.80;0.00;620629.32;0.00;0.00;943810.74;0.00;0.00;0.00;760808.30;2216708.60;0.00;1.08;1.01;1.09;1.17;1.15
CAPITÃO POÇO - PA;52616.0;0.00;0.00;0.00;6285823.94;0.00;0.00;0.00;2051655.38;0.00;13231256.67;0.00;32295170.65;570326.30;0.00;5343841.44;0.00;421698.33;203304.60;0.00;595114.92;0.00;0.00;0.00;0.00;0.00;2237160.35;267648.32;1045606.82;0.00;1.04;1.08;1.02;1.04;1.05
PONTA PORÃ - MS;85251.0;6803267.97;2850488.93;0.00;20925732.97;0.00;2756107.26;0.00;7119689.87;10598867.09;40518934.82;0.00;61826705.41;4766.21;405.25;17905983.28;2030165.00;0.00;205582.11;0.00;3316086.41;0.00;418898.59;65003.61;0.00;0.00;0.00;2020478.45;13449958.26;0.00;1.16;1.19;1.47;1.25;1.16
PEDRA AZUL - MG;24648.0;1480079.03;235960.88;0.00;3531186.05;30095.70;83623.74;0.00;2011273.31;0.00;11291363.89;0.00;11271151.68;506902.23;0.00;4009014.71;0.00;20212.83;9325.83;0.00;1378312.01;0.00;0.00;54592.78;30937.55;0.00;525445.81;420981.41;2278496.36;0.00;1.05;0.99;1.15;1.09;1.01
ALAMBARI - SP;5460.0;476655.02;0.00;0.00;2418911.68;0.00;0.00;0.00;640568.96;0.00;4275595.89;0.00;6247046.11;350364.42;0.00;3475828.36;0.00;182335.68;0.00;0.00;283415.42;0.00;0.00;0.00;0.00;0.00;0.00;330971.88;11317.89;0.00;1.10;1.12;1.23;1.00;0.98
DELTA - MG;9280.0;1458339.06;232813.42;0.00;3995241.18;0.00;188097.43;0.00;1076971.39;0.00;7750061.14;0.00;7546452.34;329070.56;0.00;2756160.83;0.00;269828.34;279181.71;0.00;49194.00;0.00;0.00;0.00;65.13;489645.10;3933.70;84916.98;1235041.18;0.00;1.06;1.05;1.28;1.02;1.02
JABOTICABAL - SP;75436.0;6187297.20;276636.92;688464.23;20643501.32;0.00;1212278.44;0.00;6981507.45;27444639.94;53359309.82;733115.44;49617831.69;3369461.49;0.00;15535743.02;5885.88;17534351.34;353600.35;0.00;1785739.32;0.00;385188.00;453705.86;0.00;4911.62;1598173.44;2340288.37;3306633.51;27298356.57;1.38;1.34;1.44;1.11;1.13
SÃO GONÇALO DO PIAUÍ - PI;4885.0;409960.98;0.00;0.00;2456434.89;0.00;0.00;0.00;461375.68;212740.51;2873043.46;0.00;3212781.84;196933.48;0.00;471941.02;0.00;300.00;60704.55;0.00;232614.88;0.00;0.00;0.00;34766.00;114584.54;14969.08;264334.08;0.00;0.00;0.99;1.02;1.21;1.04;1.03
ALTO PARAÍSO DE GOIÁS - GO;7328.0;748548.41;0.00;33566.01;2937757.07;0.00;0.00;0.00;1118112.04;1609179.64;6180437.23;147355.78;6814170.49;242470.81;0.00;3134069.20;0.00;899360.45;149018.28;0.00;33838.00;0.00;0.00;0.00;0.00;0.00;404794.95;681207.54;348546.24;0.00;1.09;1.09;1.24;1.15;1.13
EQUADOR - RN;6070.0;616801.45;0.00;0.00;3084602.37;0.00;0.00;0.00;859732.36;0.00;4395229.02;0.00;4820094.12;68775.41;0.00;64982.74;0.00;0.00;0.00;0.00;120639.93;0.00;0.00;0.00;0.00;0.00;0.00;81802.41;166910.93;0.00;1.10;1.09;1.18;0.99;0.99
AMONTADA - CE;41672.0;2172355.93;0.00;0.00;24116239.47;0.00;0.00;0.00;943315.12;2155244.99;10544375.27;9140.64;35088026.64;0.00;0.00;3176236.76;0.00;279560.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27974.83;424223.56;167500.00;558588.16;0.00;1.39;1.13;1.11;1.38;1.32
SUL BRASIL - SC;2661.0;294532.92;0.00;0.00;1309861.29;0.00;9397.75;0.00;381626.36;0.00;2902891.46;0.00;2429024.77;131423.86;0.00;258463.68;0.00;385374.30;0.00;0.00;2287026.67;0.00;78076.84;0.00;434993.71;39239.91;1460578.84;171107.29;96508.90;0.00;1.13;1.26;4.55;1.11;1.09
ITUPIRANGA - PA;51743.0;1929771.30;0.00;0.00;7626416.38;0.00;0.00;0.00;2694749.24;0.00;17399398.98;0.00;41337062.53;819431.49;0.00;4978722.49;263357.43;130362.44;0.00;0.00;584196.83;0.00;0.00;0.00;0.00;131252.79;4902601.00;99439.77;976938.48;0.00;1.11;1.02;0.97;1.07;1.14
PAULO RAMOS - MA;20539.0;0.00;7083.66;0.00;4221049.13;0.00;0.00;0.00;1134112.83;0.00;6242370.03;0.00;19634617.05;977658.81;0.00;3918108.86;104935.70;147934.72;0.00;0.00;230874.28;0.00;0.00;0.00;140667.13;736523.51;2220338.57;605013.69;227154.81;0.00;1.10;1.15;1.28;1.21;1.20
NOVO ALEGRE - TO;2350.0;396446.68;0.00;0.00;1384162.12;0.00;0.00;0.00;556568.09;0.00;2158534.41;0.00;962123.31;7601.95;0.00;707500.88;0.00;0.00;102195.96;0.00;712711.04;0.00;0.00;253609.00;0.00;0.00;9000.00;26010.43;33062.40;0.00;1.19;1.59;1.66;1.02;1.06
TIRADENTES DO SUL - RS;6432.0;518392.44;0.00;44506.15;2559925.78;0.00;0.00;0.00;486540.30;0.00;4051625.35;0.00;3552465.58;6938.11;0.00;550406.06;0.00;157854.34;10917.90;0.00;1634283.73;0.00;0.00;27600.00;0.00;0.00;1113436.72;44391.17;288747.55;0.00;1.09;1.20;1.34;1.10;1.13
NAZARENO - MG;8422.0;606781.82;140367.05;0.00;3183754.99;0.00;62621.48;0.00;863464.83;374047.13;5210700.66;568057.88;4437378.61;320052.76;0.00;1366840.34;0.00;76561.13;618078.64;0.00;828145.65;0.00;0.00;239805.70;0.00;0.00;475359.04;142099.38;199455.90;0.00;1.11;1.05;1.59;1.03;1.05
PLANALTO ALEGRE - SC;2782.0;522085.43;0.00;0.00;1597024.42;0.00;1269.89;0.00;471308.98;0.00;2789370.00;0.00;2273576.71;65225.98;0.00;532065.57;92302.06;4122.95;0.00;0.00;1136055.19;0.00;0.00;610995.89;0.00;0.00;2784095.20;414489.55;189696.44;0.00;1.09;1.23;1.68;1.04;1.03
MARTINS - RN;8661.0;611354.90;0.00;0.00;1946466.43;0.00;0.00;0.00;683393.34;236898.68;4151184.35;0.00;4844260.62;25888.32;0.00;2374188.33;0.00;0.00;0.00;0.00;104180.85;0.00;0.00;682318.16;0.00;0.00;0.00;406037.28;0.00;0.00;1.04;1.06;1.42;1.13;1.10
NOVA ITARANA - BA;8192.0;609461.67;0.00;0.00;2714085.00;0.00;27255.94;0.00;319648.69;0.00;3566437.68;0.00;5381968.10;344396.72;0.00;2493287.95;0.00;0.00;0.00;0.00;15337.56;0.00;0.00;0.00;0.00;0.00;3563.54;0.00;244539.48;0.00;1.06;1.10;1.06;1.16;1.14
SÃO JOSÉ DE ESPINHARAS - PB;4711.0;534791.60;4880.00;0.00;1487044.31;0.00;0.00;0.00;594529.30;0.00;2883844.30;0.00;4599003.38;7260.00;0.00;1075840.67;0.00;0.00;0.00;0.00;48404.28;0.00;0.00;63577.00;0.00;800.00;0.00;1100.00;311137.56;0.00;0.99;1.04;1.18;1.16;1.16
