#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
292660;Ribeira do Pombal - BA;50805.0;70662687.01;2062425.88;0.00;0.00;8633247.15;0.00;0.00;0.00;551485.37;0.00;10228520.31;0.00;35370473.02;884574.51;0.00;6604354.57;310932.09;1285843.32;124408.03;0.00;419880.35;0.00;0.00;0.00;0.00;0.00;229000.00;1218233.20;2739309.21;0.00;1.09;1.12
430270;Butiá - RS;21131.0;33595558.98;1471821.04;0.00;0.00;5055442.12;0.00;0.00;0.00;1419979.91;501911.92;7451020.59;8140.60;12530990.74;252316.73;0.00;2670436.38;0.00;0.00;8848.00;0.00;681665.94;0.00;1684.00;6420.29;0.00;70703.04;1018378.74;134388.56;311410.38;0.00;0.97;1.11
421440;Rio das Antas - SC;6245.0;18531947.61;575217.37;0.00;0.00;1519494.42;0.00;115186.09;0.00;1308664.72;795650.46;3423567.20;0.00;4499265.79;63752.76;0.00;637290.19;4782.40;382825.77;0.00;0.00;577699.43;0.00;90372.78;0.00;3482.26;0.00;3691635.35;210976.04;632084.58;662768.01;1.35;1.06
250900;Manaíra - PB;11007.0;15957613.24;532940.63;41599.71;0.00;1329536.53;0.00;0.00;0.00;571655.70;353849.72;3284870.26;91947.10;5365154.50;392642.00;0.00;1238299.11;40000.00;101355.05;1563289.79;0.00;336759.28;0.00;0.00;0.00;0.00;38460.22;190058.45;174956.55;310238.64;0.00;1.23;1.08
260530;Exu - PE;32076.0;51559977.10;1638557.02;0.00;0.00;4542295.11;0.00;0.00;0.00;2084493.14;5427186.72;9989195.99;0.00;19575740.46;543450.48;0.00;4380453.52;0.00;58619.94;0.00;0.00;882445.18;0.00;0.00;0.00;0.00;0.00;2091859.55;89679.99;256000.00;0.00;1.04;1.01
353690;Pedranópolis - SP;2595.0;12481801.91;510297.71;0.00;0.00;1942947.54;0.00;0.00;0.00;836511.97;131703.30;2812915.43;0.00;2211860.23;5430.15;0.00;1051608.37;222000.00;0.00;5110.04;0.00;565460.20;0.00;147468.14;0.00;0.00;0.00;996204.56;410812.37;631471.90;0.00;1.50;1.09
150304;Floresta do Araguaia - PA;18741.0;37175863.31;1227833.40;0.00;0.00;13558473.10;0.00;0.00;0.00;337936.79;0.00;6244621.97;0.00;13340837.21;315034.99;0.00;350279.45;0.00;163117.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;146465.87;1252765.82;44030.80;194466.36;0.00;1.25;1.13
312850;Guarará - MG;3991.0;10972011.69;570186.26;0.00;0.00;1961959.67;0.00;0.00;0.00;846797.06;359295.17;2507624.13;0.00;2852021.81;279734.16;0.00;779690.72;59078.70;433505.85;0.00;0.00;103224.19;0.00;0.00;0.00;2253.40;0.00;157770.46;30178.30;28691.81;0.00;1.27;1.04
221005;São José do Divino - PI;5227.0;11791686.15;378752.23;0.00;0.00;1457494.92;0.00;0.00;0.00;444419.79;0.00;2491457.45;0.00;4526695.60;86753.00;0.00;1049776.57;0.00;866470.54;10652.00;0.00;96241.00;0.00;0.00;0.00;28900.00;98884.89;0.00;129374.74;125813.42;0.00;1.37;1.05
431333;Nova Ramada - RS;2466.0;10433541.90;390086.19;0.00;0.00;2265653.50;0.00;8289.76;0.00;259048.15;0.00;3007694.44;0.00;2478340.79;150748.97;0.00;110785.13;141911.47;151446.70;21377.61;0.00;762594.82;0.00;0.00;5915.90;0.00;35839.05;463080.24;42867.99;137861.19;0.00;1.21;1.04
