#Codigo;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
430060;2.3556313582507773;0.80;-0.55;-0.30;1.75;-0.24;1.56;-0.04;1.62;1.33;1.35;-0.48;1.58;0.61;3.52;1.12;2.01;1.12;1.10;-0.20;-2.97;-0.09;-0.47;1.67;-0.49;-0.65;0.76;0.71;-1.86;2.34
314970;-0.21180430842808617;0.26;-0.55;-0.30;-0.63;-0.24;-0.82;-0.04;-0.29;0.95;-0.31;-0.48;-0.44;0.13;-0.35;0.44;0.92;0.76;0.72;-0.20;-0.04;-0.09;1.60;-0.78;-0.49;1.27;0.58;-0.75;0.41;1.89
270740;-0.39149052513180543;0.31;-0.55;2.68;-0.69;-0.24;-0.82;-0.04;-0.53;0.98;-0.36;-0.48;0.06;0.56;-0.35;0.50;-0.66;-1.20;0.53;-0.20;-0.36;-0.09;-0.47;-0.78;1.89;-0.65;-0.03;-3.51;-1.86;-0.49
220552;-0.7387986864910232;0.23;-0.55;3.21;-0.69;-0.24;-0.82;-0.04;-0.79;-1.00;-0.74;-0.48;-0.41;-0.31;-0.35;-0.49;-0.66;-1.20;-1.27;-0.20;-0.23;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;-0.23;0.42;-0.49
412033;-1.0905541439721582;0.12;1.50;-0.30;-0.56;-0.24;-0.82;-0.04;-0.45;-1.00;-0.49;-0.48;-0.97;-0.98;-0.35;0.17;1.52;-1.20;0.25;-0.20;-0.73;-0.09;2.08;-0.78;-0.49;-0.65;0.56;0.19;0.42;-0.49
431177;-0.5257163604483657;0.37;-0.55;-0.30;-0.21;3.62;-0.82;-0.04;-0.57;0.97;-0.68;-0.48;-0.60;-1.37;-0.35;-0.33;-0.66;-0.06;0.48;-0.20;0.40;-0.09;-0.47;-0.78;-0.49;-0.65;-0.04;-0.42;0.47;1.90
317150;-1.1518252494475676;0.28;-0.55;2.77;-0.34;-0.24;0.72;-0.04;-0.29;0.88;-0.66;-0.48;-0.84;0.19;-0.35;-0.00;-0.66;0.47;-0.81;-0.20;-2.97;-0.09;-0.47;-0.78;-0.49;1.23;0.35;-0.28;0.11;-0.49
520055;-0.7686928305390933;0.63;1.09;-0.30;1.10;-0.24;1.38;-0.04;1.47;-1.00;0.42;-0.48;0.27;0.36;-0.35;0.71;0.56;-1.20;1.01;-0.20;0.79;-0.09;-0.47;-0.78;-0.49;-0.65;0.73;0.77;0.69;-0.49
270850;0.8288540062804688;0.53;-0.55;-0.30;0.71;-0.24;1.57;-0.04;0.31;-1.00;0.42;-0.48;0.75;-0.13;-0.35;0.53;-0.66;0.58;0.44;-0.20;0.31;-0.09;-0.47;1.06;-0.49;-0.65;-1.85;0.48;0.40;-0.49
290820;0.4633116637800766;0.44;-0.55;-0.30;0.37;-0.24;-0.82;-0.04;0.00;-1.00;0.16;-0.48;0.43;0.51;-0.35;-0.25;-0.66;1.00;-1.27;-0.20;0.43;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;0.32;0.53;-0.49
291550;0.43895472582944184;0.47;1.91;-0.30;0.51;-0.24;-0.82;-0.04;-0.12;-1.00;-0.05;-0.48;0.34;-0.14;-0.35;0.03;-0.66;0.90;0.53;4.68;-2.97;-0.09;-0.47;-0.78;-0.49;-0.65;0.30;0.21;0.72;-0.49
310950;0.07689052031579291;0.23;-0.55;-0.30;-0.14;-0.24;1.05;-0.04;0.26;-1.00;-0.19;-0.48;-0.25;0.50;-0.35;0.04;-0.66;0.73;0.40;-0.20;0.31;-0.09;-0.47;-0.78;1.95;-0.65;0.73;0.51;0.63;-0.49
316553;0.6900016957258167;0.60;2.00;-0.30;0.99;-0.24;1.27;-0.04;0.88;0.99;0.97;-0.48;0.59;0.97;-0.35;0.37;-0.66;0.67;1.32;-0.20;-0.08;-0.09;-0.47;1.01;-0.49;-0.65;-1.85;0.62;0.58;2.10
410950;-0.41937073463507096;-2.34;1.86;-0.30;0.32;-0.24;-0.82;-0.04;-0.27;-1.00;-0.23;-0.48;-0.48;0.28;-0.35;-0.89;-0.66;-1.20;0.88;-0.20;-0.53;-0.09;-0.47;0.97;-0.49;-0.65;-0.04;-0.15;0.57;-0.49
270710;0.5470193273763461;0.63;1.19;-0.30;1.16;-0.24;0.46;-0.04;1.18;0.98;0.28;-0.48;0.49;0.86;2.95;0.53;-0.66;0.97;0.89;-0.20;0.88;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;0.68;0.65;-0.49
320120;2.3609724168176687;0.87;-0.55;-0.30;2.69;-0.24;1.53;-0.04;1.14;1.36;1.52;-0.48;1.75;0.97;-0.35;1.21;1.52;-1.20;0.60;3.36;0.60;-0.09;-0.47;1.18;-0.49;-0.65;0.95;0.67;1.16;-0.49
410520;0.2597748973733253;-2.34;1.68;-0.30;0.36;-0.24;0.48;-0.04;0.42;-1.00;0.15;-0.48;-0.03;0.09;-0.35;0.17;-0.66;0.60;0.92;-0.20;-0.04;-0.09;-0.47;-0.78;-0.49;-0.65;-0.38;0.15;0.61;1.91
270050;0.15049843337730365;-2.34;-0.55;2.91;-0.13;-0.24;-0.82;-0.04;-0.15;1.07;-0.10;1.92;0.20;0.67;-0.35;0.18;-0.66;0.98;0.47;-0.20;0.01;-0.09;1.62;-0.78;2.01;-0.65;0.27;0.59;0.62;-0.49
520980;-1.0175144784118175;0.28;1.61;-0.30;-0.75;-0.24;0.85;-0.04;-0.28;-1.00;-0.55;-0.48;-0.85;-3.08;-0.35;-5.35;1.70;-1.20;0.50;-0.20;0.25;-0.09;-0.47;-0.78;-0.49;-0.65;0.55;-0.09;-1.86;-0.49
