#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
311840;Conselheiro Pena - MG;1;-3195,89;0,94;1,43;1,43;1;-4038,13;1;1,08;1,08
420208;Bandeirante - SC;1;-3215,89;0,55;1,8;1,81;1;785,32;1;1,39;1,39
316130;São Francisco de Sales - MG;1;-3257,93;0,94;1,71;1,72;1;-7202,02;0,5;1,13;1,13
430560;Colorado - RS;1;-3282,17;0,77;1,59;1,6;1;-8265,05;0,04;1,02;1,02
150140;Belém - PA;1;-3332,9;0,99;1,91;1,94;1;20153,22;1;1,23;1,23
431545;Relvado - RS;1;-3333,7;0,01;1,29;1,29;1;-6563,78;0;1,03;1,03
130426;Uarini - AM;1;-3347,29;1;2,98;3,01;1;899,21;1;1,38;1,39
430215;Boa Vista das Missões - RS;1;-3363,22;1;1,53;1,54;1;-5712,7;0,99;1,16;1,16
313500;Jaguaraçu - MG;1;-3363,36;0,83;1,61;1,63;1;-6869,34;1;1,12;1,12
210610;Loreto - MA;1;-3368,78;0,98;2,4;2,42;1;-1435,13;1;1,36;1,37
354620;Santa Cruz da Conceição - SP;1;-3431,22;1;1,57;1,57;1;-4629,78;1;1,18;1,18
250050;Alagoinha - PB;1;-3459,22;0,98;1,71;1,73;1;-5313,39;1;1,22;1,22
