#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
350050;-1.21;-0.28;-0.15;-0.39;-0.08;-0.32;-0.01;1.85;-0.36;0.92;-0.22;1.39;-0.38;-0.10;0.47;-0.22;-0.41;1.55;-0.10;-0.57;-0.04;-0.17;6.26;-0.10;-0.44;-0.39;1.55;0.26;-0.31
292350;-0.13;-0.28;-0.15;-0.54;-0.08;-0.06;-0.01;-0.50;-0.64;-1.12;-0.22;-0.22;1.01;-0.10;0.00;-0.22;-0.41;-0.44;-0.10;-0.57;-0.04;-0.17;-0.26;-0.21;-0.39;-0.53;-0.65;-0.55;-0.31
351200;0.55;-0.28;-0.15;0.13;-0.08;-0.32;-0.01;0.38;-0.64;0.05;-0.22;0.98;-0.43;-0.10;0.41;7.83;1.33;-0.42;-0.10;-0.55;-0.04;-0.17;0.41;-0.21;1.05;-0.36;0.70;0.33;-0.31
430195;1.16;-0.28;-0.15;0.83;-0.08;-0.12;-0.01;1.95;0.90;2.11;-0.22;0.53;-0.58;-0.10;-0.56;-0.22;0.14;-0.44;-0.10;3.09;-0.04;2.05;-0.26;-0.21;2.50;1.70;2.61;2.15;-0.31
316420;-0.11;0.67;-0.15;-0.75;0.85;-0.22;-0.01;-0.54;-0.08;-0.54;-0.22;-1.14;0.36;-0.10;-0.37;-0.03;-0.28;0.19;-0.10;-0.30;-0.04;-0.17;-0.26;-0.18;-0.44;0.07;-0.12;0.73;0.64
314390;-0.48;0.09;-0.15;-0.71;-0.08;-0.32;-0.01;-0.46;0.47;-0.73;-0.22;-1.46;-0.17;-0.10;0.35;-0.22;2.29;-0.08;-0.10;-0.20;-0.04;-0.17;0.04;0.08;-0.33;-0.53;-0.34;-0.34;0.76
260600;-0.58;-0.28;-0.15;-0.66;-0.08;0.24;-0.01;-0.69;0.76;-0.95;-0.22;-0.71;-0.03;-0.05;0.09;-0.22;-0.33;-0.42;-0.10;-0.41;-0.04;-0.16;-0.18;-0.21;-0.43;-0.53;-0.55;-0.25;-0.31
500470;0.22;0.13;-0.15;-0.29;-0.08;-0.32;-0.01;1.23;0.60;0.13;-0.22;-0.50;-0.52;-0.10;-0.01;-0.20;-0.40;-0.30;-0.10;-0.10;-0.04;-0.17;-0.26;-0.21;4.13;-0.52;-0.24;0.28;0.41
210177;-1.21;-0.28;-0.15;0.63;-0.08;-0.32;-0.01;0.20;-0.22;0.37;-0.22;2.06;1.51;-0.10;-1.10;-0.22;0.22;-0.44;-0.10;-0.52;-0.04;-0.17;-0.26;-0.21;-0.41;0.25;-0.39;-0.81;-0.31
410240;-1.21;-0.04;-0.15;0.26;-0.08;-0.32;-0.01;-0.87;-0.64;-1.03;-0.22;-0.93;-0.73;-0.10;-1.01;-0.19;-0.41;-0.37;-0.10;-0.31;-0.04;0.48;-0.26;-0.21;-0.44;-0.53;-0.65;-0.21;-0.31
