##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
412510;PR;São João do Triunfo;14583;0;0;0;4396820.64;0;0;0;1400817.73;0;7021737.71;0;8014032.94;485021.94;0;3504247.49;0;128460.00;13020.00;0;322642.72;0;0;0;0;0;1974284.45;384404.77;0;0
522020;GO;São Miguel do Araguaia;22750;2158292.12;221.25;0;7053589.07;0;375274.90;0;1204871.34;5203952.29;15579794.77;0;16476281.69;5203.32;0;5858841.66;0;167985.79;0;0;467004.27;0;0;963959.49;0;0;301510.92;264955.29;0;0
310340;MG;Araçuaí;37220;1845611.20;144510.34;0;3217042.72;30990.02;106517.71;0;2508445.13;2631042.33;20315249.79;0;13555833.13;566113.94;0;3963099.36;0;0;26102.45;0;1100221.07;0;0;0;232791.31;747224.96;2676.00;276534.99;919328.91;0
521450;GO;Nerópolis;26857;2707256.73;0;0;21972896.82;180.75;849111.88;0;1509106.97;5735859.75;19065748.92;718950.32;19641633.84;200461.13;0;5841205.97;0;0;1078992.89;0;11061.60;0;35927.86;0;0;0;257329.50;13439.70;0;0
320501;ES;Sooretama;27409;1504993.00;208755.00;0;12584533.89;0;0;0;2487953.45;0;9061692.32;0;27674363.47;0;0;9030697.85;0;4118577.67;241258.76;0;0;0;0;1280558.82;161932.89;0;712389.00;286179.58;1133071.18;0
354100;SP;Praia Grande;293695;22697069.49;0;0;76852290.06;0;19592975.50;0;18625875.00;42127450.69;232673148.22;82120.00;316167616.57;9275156.45;84528.60;163047319.78;2987449.58;28671083.00;2558437.11;3868799.81;0;0;0;99569.97;0;19711160.61;2317674.26;7419245.82;43746499.59;718809.58
330290;RJ;Miguel Pereira;24829;3354104.61;0;222911.81;8552221.20;0;34650.00;0;1875238.13;3498261.37;21082747.43;0;19373437.64;426594.79;0;4999607.58;0;884210.71;4006923.46;0;1151796.52;0;0;2196127.15;0;0;2327658.55;32851.10;0;0
353590;SP;Paranapuã;4001;511844.24;0;0;1798249.45;0;0;0;566608.12;964224.60;3566043.39;0;4071576.59;12864.88;0;1679973.97;0;0;0;0;731494.24;0;0;0;0;0;411114.50;74690.24;213923.40;0
220100;PI;Arraial;4678;407984.64;0;0;2264995.83;0;0;0;452887.88;0;2459782.59;0;3016343.38;20949.08;0;323082.34;0;361063.44;0;0;117481.87;0;0;0;0;0;0;59814.82;81647.14;0
313210;MG;Itacarambi;18350;1178329.41;35951.18;0;3670608.06;0;0;0;1026089.10;3283511.28;12423049.93;0;14393268.70;265158.93;0;7351731.90;0;131410.05;4091.03;0;351873.98;0;0;0;12154.00;0;265697.26;206599.31;1020886.78;0
110150;RO;Seringueiras;12543;1018781.10;0;0;3016081.82;0;0;0;620815.74;414285.86;6298182.33;0;8862122.22;13106.96;0;204712.00;0;0;6300.00;0;1949113.10;0;0;540.00;0;0;3282729.09;311261.43;103918.07;649802.45
270640;AL;Pão de Açúcar;24924;1246239.37;0;0;14116693.13;0;0;0;717766.69;0;14258747.61;1200.00;20671285.39;3300.00;0;15160.26;0;0;0;0;0;0;0;0;0;0;0;37566.00;370520.98;4077735.40
500070;MS;Anastácio;24642;2270622.78;276587.79;0;10773495.33;0;0;0;1231879.23;0;11473681.63;0;10752133.91;1138895.28;1219607.75;2264354.09;0;82202.29;18000.00;0;341361.71;0;0;0;0;0;1772284.28;272122.93;1145114.38;0
230195;CE;Barreira;20532;1219500.76;0;0;6500143.73;0;0;0;1228533.66;0;10121733.90;0;15591329.30;341888.11;0;543053.42;0;10764.87;255444.22;0;0;0;0;244817.47;0;0;182520.74;145995.40;147883.96;0
