##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intra-Orçamentárias)
150304;PA;Floresta do Araguaia;18741;1227833.40;0;0;13558473.10;0;0;0;337936.79;0;6244621.97;0;13340837.21;315034.99;0;350279.45;0;163117.55;0;0;0;0;0;0;0;146465.87;1252765.82;44030.80;194466.36;0
500220;MS;Bonito;20597;2162643.40;0;0;7379274.53;0;0;0;2312687.42;2774761.54;11599931.59;0;13836841.71;244558.89;0;6505479.93;0;0;604764.87;0;567086.03;0;0;2303687.43;0;548209.37;0;285826.10;0;0
314670;MG;Palma;6738;578066.27;0;0;1914644.32;0;0;0;408003.49;317566.60;3149281.27;0;2522107.05;148412.52;0;2012105.47;0;0;0;0;330542.98;0;0;0;1642.25;0;0;136983.91;107060.33;0
412500;PR;São João do Ivaí;11461;0;45613.76;0;1966996.56;0;0;0;1092160.54;0;5921093.48;210587.18;5384028.07;98645.63;0;3710932.66;0;0;0;0;196638.57;0;0;0;0;0;341650.00;183284.86;979474.43;0
160030;AP;Macapá;437256;16987816.00;0;8760.00;98565769.48;0;26375281.77;0;6869304.42;38352245.74;92740206.97;0;162518891.89;1451765.54;381334.66;19376485.22;682248.38;207702.94;30440723.48;0;0;0;0;1501759.10;0;0;12242764.74;310766.00;17027402.62;0
240030;RN;Afonso Bezerra;11191;791077.41;0;0;2843459.83;0;0;0;735844.76;0;4629777.79;0;8267496.48;31985.46;0;2195171.59;0;0;0;0;353758.91;0;0;0;0;0;22919.43;24742.38;0;0
313990;MG;Maria da Fé;14551;805399.91;0;0;1260779.78;0;58533.81;0;371520.19;562850.86;6639131.98;0;8249575.35;86986.18;0;955835.50;0;471940.00;0;0;86463.54;0;0;0;56823.64;0;1211671.36;282990.54;698648.33;0
431990;RS;Sapiranga;78718;3688026.47;0;0;7883972.58;0;454734.17;0;2509328.77;4333957.79;25004507.07;0;49749668.45;1017779.94;2044.00;13410717.70;894315.97;1597546.71;493478.73;0;479841.90;0;552127.37;720387.93;0;0;1497600.31;373650.16;4192977.76;7360336.26
290370;BA;Boa Nova;15141;952986.00;0;109151.70;4048494.67;0;7466.00;0;553774.05;0;5252445.60;0;12304385.17;532822.02;0;2429345.87;0;10500.00;42745.00;0;0;0;0;0;0;0;72370.00;30098.81;647775.55;0
430511;RS;Centenário;3036;463978.45;0;0;1773070.79;0;0;0;594561.35;8925.60;2045579.44;0;1898100.70;92825.07;0;15673.11;0;212758.11;0;0;1259094.25;0;0;0;3700.00;60762.21;1105073.68;55864.86;0;0
410260;PR;Barracão;10143;0;0;0;3054556.15;0;0;0;1006363.60;0;5249223.01;0;4658914.35;205412.12;0;2043999.04;0;22548.24;1951.97;0;417244.50;0;218785.72;1328264.39;0;0;1615033.45;247256.27;76609.84;662268.03
280410;SE;Moita Bonita;11350;752935.46;0;0;1925990.42;0;0;0;1364114.75;0;3689321.39;0;6566933.36;532362.18;0;2072234.17;0;14477.73;7350.00;0;1346682.67;0;0;0;0;0;0;293630.00;0;0
270900;AL;Tanque d'Arca;6374;573874.76;0;0;1825414.82;0;0;0;476630.94;895455.66;3284607.04;0;4005990.51;443167.81;0;2452073.41;0;0;32134.09;0;129470.19;0;0;0;0;0;42330.00;0;210450.28;425169.05
150293;PA;Dom Eliseu;54602;2052722.64;0;0;6188620.36;0;10406.74;0;2988673.91;940974.03;15810616.76;0;37804200.22;73536.89;79355.57;5960917.06;0;2310246.89;399447.71;0;2580406.30;0;0;0;0;0;1666745.47;55868.28;1106997.78;0
251070;PB;Passagem;2338;0;0;0;2129367.45;0;0;0;529044.71;0;1732939.90;0;2271843.92;128115.59;0;878069.78;0;11552.88;0;0;162419.96;0;0;0;21.69;70798.60;98818.95;65937.90;30311.91;0
170410;TO;Centenário;2737;388328.65;0;0;1353370.69;0;6029.08;0;415309.06;392171.57;1370849.58;0;2319115.45;0;0;424995.62;0;0;5214.15;0;83400.86;0;0;0;0;0;228178.59;13111.02;73444.04;0
430180;RS;Barracão;5498;689712.94;0;0;2434278.10;0;6000.00;0;621490.36;0;3315381.07;174184.00;3705833.89;107331.40;0;735603.19;242357.60;51223.44;216286.14;0;858011.04;0;0;0;0;190391.18;2216091.06;158029.30;0;0
500510;MS;Jateí;4051;1420390.60;0;0;6819545.76;0;0;0;2028113.12;139681.39;5242096.48;0;5955230.32;0;0;1298458.27;0;544834.12;801905.04;0;654933.99;0;0;0;0;33803.69;923919.09;54137.09;304111.60;0
510395;MT;Glória D'Oeste;3072;521904.79;0;0;3329354.84;0;0;0;752734.87;0;2024812.89;101344.33;2210885.51;0;0;14980.00;1422712.46;77151.44;0;0;142970.43;0;0;627494.48;0;0;321084.40;39883.63;3296.72;0
431403;RS;Pareci Novo;3686;458298.85;96377.54;0;1737074.49;0;0;0;145055.80;414217.05;2629184.99;0;3998808.20;229406.54;83948.40;1624.51;34112.11;372684.50;193842.90;0;1051530.72;0;0;17460.00;0;108975.72;1413199.95;378271.09;439420.42;522507.67
210270;MA;Cantanhede;21125;0;0;0;5910713.58;0;5362.00;0;1573362.64;0;7423368.47;0;21195359.65;573339.29;0;1646763.46;0;31592.06;0;0;247442.25;0;0;0;0;0;819230.00;502624.12;0;0
520920;GO;Guapó;14397;1113618.44;400.00;0;4585902.57;0;0;0;1204522.32;3284648.59;5521726.46;5142.44;6879392.68;0;0;1782475.37;0;0;214814.02;0;144637.31;0;0;84902.31;0;0;1517320.17;424715.61;0;0
431010;RS;Igrejinha;33711;1179335.89;0;0;23383423.19;0;246368.96;0;892283.55;3022689.38;8487266.86;0;23184668.40;186074.24;0;2572217.40;625486.70;100705.88;239973.74;0;148120.44;0;18500.00;0;0;988198.07;1264235.41;298059.25;0;3668319.63
231370;CE;Umari;7660;581936.39;7976.79;0;1949081.10;0;0;0;874596.79;119925.96;2966548.51;0;4896185.43;108684.21;0;1623241.24;1400.00;31673.53;65658.00;0;184126.14;0;0;0;0;92669.40;0;58063.72;4906.75;0
